t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.4,0.6992058987801011,10
5,0.3,0.6749485577105528,10
6,0.3,0.6749485577105528,10
7,0.3,0.6749485577105528,10
8,0.5,0.97182531580755,10
9,0.6,0.9660917830792959,10
10,0.7,1.3374935098492586,10
11,0.7,1.3374935098492586,10
12,1.0,1.699673171197595,10
13,1.2,1.8135294011647258,10
14,1.3,1.828782229912694,10
15,1.6,1.9550504398153572,10
16,1.9,2.183269719175042,10
17,1.7,1.8287822299126937,10
18,1.6,1.837873166945363,10
19,1.7,1.636391694484477,10
20,1.4,1.7126976771553508,10
21,1.7,1.8287822299126937,10
22,2.0,1.7638342073763937,10
23,2.0,1.5634719199411433,10
24,2.4,1.837873166945363,10
25,2.6,1.9550504398153572,10
26,2.8,2.250925735484551,10
27,3.1,1.911950719959998,10
28,3.2,2.2010098692292237,10
29,3.2,2.250925735484551,10
30,3.0,2.1081851067789197,10
31,3.3,2.2632326929023945,10
32,3.4,2.412928142780514,10
33,3.2,2.2010098692292237,10
34,2.9,2.378141197564929,10
35,3.0,2.4037008503093262,10
36,3.0,2.260776661041756,10
37,3.3,2.110818693198342,10
38,3.3,2.057506581601462,10
39,2.9,2.024845673131659,10
40,3.3,2.1628170930011112,10
41,3.6,2.0655911179772892,10
42,3.5,2.3213980461973533,10
43,3.5,2.4608038433722332,10
44,3.7,2.496664441476534,10
45,3.4,2.674987019698517,10
46,3.3,2.7507574714370344,10
47,3.3,2.94580681270476,10
48,2.7,2.7507574714370344,10
49,2.8,2.7406406388125957,10
50,2.6,2.6331223544175333,10
51,2.3,2.406010991015812,10
52,2.4,2.1705094128132942,10
53,2.3,2.263232692902394,10
54,2.3,2.0575065816014617,10
55,2.6,2.011080417199781,10
56,2.7,2.2135943621178655,10
57,2.7,2.213594362117866,10
58,2.6,2.1705094128132942,10
59,2.5,2.173067468400883,10
60,2.8,2.2010098692292237,10
61,2.7,2.6267851073127395,10
62,2.7,2.496664441476534,10
63,2.6,2.7968235951204043,10
64,2.4,2.7162065049951147,10
65,2.3,3.0568684048294332,10
66,2.4,2.9514591494904874,10
67,2.2,2.936362072739365,10
68,2.4,2.9514591494904874,10
69,2.6,2.4585451886114367,10
70,2.8,2.859681411936962,10
71,2.9,2.960855732160327,10
72,2.8,2.859681411936962,10
73,3.2,2.6583202716502514,10
74,3.3,2.7507574714370344,10
75,3.4,2.6749870196985173,10
76,3.1,2.558211180579986,10
77,2.9,2.6853512081497106,10
78,3.1,2.6012817353502227,10
79,3.1,2.8460498941515415,10
80,2.9,2.8460498941515415,10
81,2.6,3.062315754094894,10
82,2.6,2.7568097504180447,10
83,2.7,3.093002855909879,10
84,3.2,3.011090610836324,10
85,3.2,3.155242550986462,10
86,3.4,3.134042472944842,10
87,3.6,2.8751811537130436,10
88,3.7,2.9832867780352594,10
89,3.8,3.084008934992101,10
90,4.0,3.4641016151377544,10
91,4.2,3.823901439919996,10
92,3.9,4.2282121254470875,10
93,4.0,4.2946995755750415,10
94,3.9,4.3576242252962665,10
95,3.8,4.263540521418528,10
96,4.0,4.371625682868,10
97,4.1,4.532597979574677,10
98,4.1,4.581363212940978,10
99,4.4,5.015531433014408,10
100,4.5,5.01663898109747,10
101,5.0,5.374838498865699,10
102,5.1,5.363456596884761,10
103,5.3,5.229191567005787,10
104,5.0,5.333333333333333,10
105,5.3,5.186520991955976,10
106,5.3,5.271516754112509,10
107,5.7,5.056349144063003,10
108,5.5,5.060742150229659,10
109,5.4,4.835057163858332,10
110,5.9,4.998888765404656,10
111,6.0,4.876246279442598,10
112,6.4,5.125101625008686,10
113,6.3,5.207899981971833,10
114,6.3,5.056349144063003,10
115,6.5,4.85912657903775,10
116,6.7,5.121848624601603,10
117,7.0,5.206833117271103,10
118,7.3,5.229191567005788,10
119,7.5,4.881939505292269,10
120,7.2,5.094659513211414,10
121,7.3,5.012207320355197,10
122,7.2,5.00666222813829,10
123,7.5,5.359311730271176,10
124,7.6,5.399588461684423,10
125,7.5,5.254627590144816,10
126,7.4,5.211099265563414,10
127,7.3,5.457919831665622,10
128,7.2,5.411920998027307,10
129,7.4,5.316640543300503,10
130,7.8,5.513619500836089,10
131,8.2,5.181162460726786,10
132,8.4,5.125101625008686,10
133,8.6,5.316640543300503,10
134,8.9,5.384133067531753,10
135,9.2,5.493430419854044,10
136,9.2,5.593647190240808,10
137,9.3,5.657836257007719,10
138,9.4,5.966573556070519,10
139,9.8,5.921711464320654,10
140,10.1,5.915140648276159,10
141,9.9,5.626327003965869,10
142,10.1,5.526702854726717,10
143,10.1,5.6656861896861175,10
144,10.1,5.486346689738081,10
145,10.2,5.050852513300216,10
146,10.4,5.295700562196133,10
147,10.7,5.334374898294603,10
148,10.2,5.391351098441528,10
149,10.1,5.342700108039421,10
150,10.2,5.28730134903956,10
151,10.2,5.846176338238334,10
152,10.3,5.657836257007719,10
153,9.8,6.178816859057871,10
154,10.1,6.261877602693231,10
155,10.2,6.408327915038889,10
156,10.3,6.325433669805661,10
157,10.6,6.449806198638839,10
158,10.4,6.239658110292048,10
159,10.3,6.019413038937712,10
160,10.2,6.511528238439883,10
161,10.1,6.539622822966678,10
162,10.2,6.528569691917382,10
163,10.5,6.916164640415476,10
164,10.0,7.133644853010899,10
165,9.8,7.284687135812125,10
166,9.9,7.248754682319194,10
167,10.2,7.284687135812126,10
168,10.4,7.4266786355379315,10
169,10.6,7.7056977476266075,10
170,10.5,7.516648189186454,10
171,10.5,7.230337321161287,10
172,10.9,7.14065045278712,10
173,11.1,6.773313648265359,10
174,11.2,6.844300142778986,10
175,11.0,6.733003292241386,10
176,10.9,6.556591255285698,10
177,10.8,6.62989860824097,10
178,11.3,6.992853494818835,10
179,11.4,7.275529763071095,10
180,11.5,6.980130530457308,10
181,11.7,7.04035983928852,10
182,11.9,6.919376979018976,10
183,12.3,6.700746227100382,10
184,12.5,6.948221195225277,10
185,12.4,7.152311203768719,10
186,12.2,7.405703507732702,10
187,12.1,7.156193898373012,10
188,11.8,7.192588778272628,10
189,12.0,7.542472332656507,10
190,12.1,7.593125545883959,10
191,11.9,7.593125545883958,10
192,11.8,7.583608053631932,10
