Q_diff,Q_router,Q_oracle
0,0,0
0,1,1
0,0,0
0,1,1
0,0,0
0,1,1
0,1,1
0,1,1
0,1,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
2,3,1
2,3,1
2,2,0
1,2,1
2,2,0
1,2,1
1,2,1
2,3,1
2,3,1
2,4,2
2,4,2
2,3,1
2,4,2
3,4,1
3,5,2
3,5,2
4,5,1
4,5,1
4,4,0
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
4,5,1
5,5,0
5,6,1
5,5,0
4,5,1
4,5,1
4,5,1
4,6,2
4,7,3
4,7,3
4,7,3
4,6,2
4,6,2
5,6,1
5,5,0
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
6,6,0
6,7,1
6,6,0
6,6,0
6,7,1
6,6,0
6,7,1
6,7,1
6,6,0
5,6,1
5,5,0
5,5,0
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
5,6,1
5,7,2
5,6,1
5,7,2
5,7,2
6,8,2
6,8,2
6,8,2
6,7,1
6,8,2
6,8,2
6,9,3
6,9,3
6,9,3
7,10,3
7,10,3
7,10,3
7,9,2
7,9,2
7,8,1
7,8,1
7,9,2
7,10,3
8,11,3
8,11,3
8,10,2
8,11,3
8,12,4
9,13,4
9,13,4
9,13,4
10,13,3
10,14,4
11,15,4
12,15,3
12,16,4
13,16,3
13,17,4
14,18,4
14,18,4
14,17,3
14,18,4
14,17,3
14,17,3
14,18,4
15,18,3
15,18,3
16,19,3
16,19,3
16,19,3
17,20,3
17,19,2
17,19,2
17,18,1
17,18,1
17,19,2
18,20,2
18,20,2
18,20,2
18,21,3
18,20,2
18,21,3
19,21,2
19,22,3
19,22,3
20,23,3
20,22,2
20,23,3
21,24,3
21,24,3
21,24,3
21,24,3
21,24,3
21,23,2
20,23,3
20,23,3
20,23,3
20,23,3
21,24,3
21,24,3
21,24,3
22,24,2
22,25,3
23,26,3
23,25,2
23,25,2
23,24,1
23,25,2
24,25,1
24,24,0
24,24,0
23,23,0
22,23,1
22,23,1
22,23,1
22,22,0
22,22,0
22,23,1
22,23,1
23,23,0
22,23,1
23,24,1
23,23,0
23,23,0
23,23,0
23,24,1
