Q_diff,Q_router,Q_oracle
0,1,1
1,2,1
1,2,1
1,1,0
1,2,1
2,3,1
3,4,1
3,4,1
4,5,1
4,5,1
4,4,0
3,3,0
3,4,1
3,4,1
3,5,2
4,6,2
4,6,2
4,6,2
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
7,8,1
8,9,1
9,10,1
9,10,1
9,10,1
9,10,1
9,10,1
10,10,0
9,10,1
9,10,1
10,11,1
10,11,1
11,12,1
11,12,1
11,12,1
11,12,1
11,12,1
12,13,1
12,13,1
13,14,1
13,14,1
13,14,1
13,14,1
13,14,1
13,14,1
13,14,1
14,14,0
14,15,1
14,15,1
14,15,1
14,15,1
14,15,1
14,15,1
14,15,1
15,16,1
15,16,1
15,16,1
15,16,1
16,17,1
16,17,1
16,17,1
16,17,1
17,18,1
17,18,1
17,18,1
17,17,0
16,17,1
16,17,1
16,17,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
18,19,1
18,19,1
18,19,1
19,20,1
19,20,1
19,20,1
19,20,1
19,20,1
19,20,1
20,21,1
21,22,1
21,22,1
21,21,0
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
22,23,1
22,23,1
22,23,1
22,23,1
22,22,0
21,21,0
20,21,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
22,23,1
22,23,1
22,23,1
22,23,1
22,23,1
22,23,1
22,23,1
23,24,1
23,24,1
23,24,1
23,24,1
23,23,0
23,24,1
24,25,1
24,25,1
24,25,1
24,25,1
24,25,1
25,26,1
26,27,1
26,27,1
26,27,1
26,27,1
27,28,1
28,29,1
28,29,1
28,29,1
29,29,0
29,30,1
30,31,1
30,30,0
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,30,0
30,31,1
30,31,1
31,32,1
31,32,1
31,32,1
31,32,1
31,32,1
31,32,1
31,32,1
31,32,1
31,32,1
32,33,1
33,34,1
33,33,0
32,33,1
32,32,0
31,32,1
32,33,1
33,34,1
33,34,1
33,35,2
34,36,2
34,36,2
34,36,2
34,36,2
35,37,2
35,36,1
35,36,1
35,35,0
34,35,1
34,35,1
34,35,1
34,35,1
35,36,1
35,36,1
35,36,1
35,37,2
36,38,2
36,38,2
36,38,2
36,38,2
37,39,2
37,39,2
37,39,2
37,39,2
37,39,2
37,38,1
37,39,2
38,40,2
38,40,2
38,40,2
38,40,2
38,40,2
39,41,2
39,41,2
39,41,2
39,41,2
39,41,2
39,41,2
39,41,2
39,41,2
39,41,2
39,41,2
39,41,2
39,41,2
39,41,2
39,41,2
40,42,2
41,43,2
41,42,1
41,43,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
43,45,2
43,45,2
44,46,2
44,45,1
43,45,2
43,45,2
43,45,2
43,45,2
44,46,2
44,46,2
44,46,2
44,46,2
44,46,2
44,46,2
44,46,2
45,47,2
46,48,2
46,48,2
46,48,2
46,48,2
46,48,2
46,48,2
47,49,2
47,49,2
47,49,2
47,49,2
47,49,2
47,49,2
47,49,2
47,48,1
47,49,2
47,48,1
47,48,1
47,48,1
47,48,1
47,48,1
48,49,1
48,49,1
48,50,2
48,50,2
48,50,2
48,50,2
48,50,2
48,50,2
48,50,2
48,50,2
48,50,2
49,51,2
49,51,2
49,51,2
49,51,2
49,50,1
50,51,1
51,52,1
51,52,1
52,53,1
52,53,1
52,53,1
52,53,1
52,53,1
52,53,1
52,53,1
52,53,1
52,53,1
53,54,1
53,54,1
53,54,1
53,54,1
53,54,1
53,53,0
52,53,1
52,53,1
52,53,1
52,53,1
53,54,1
53,54,1
53,54,1
54,55,1
54,55,1
55,56,1
55,56,1
55,56,1
55,56,1
55,56,1
55,57,2
55,57,2
55,57,2
55,57,2
55,57,2
55,57,2
55,57,2
56,58,2
56,58,2
56,58,2
56,58,2
57,59,2
57,59,2
57,58,1
56,58,2
57,59,2
57,59,2
57,59,2
57,59,2
57,59,2
57,59,2
57,59,2
57,59,2
57,59,2
57,59,2
57,59,2
58,60,2
58,60,2
59,61,2
59,61,2
59,60,1
59,60,1
60,61,1
61,62,1
62,63,1
62,62,0
62,63,1
63,64,1
63,65,2
63,65,2
63,65,2
63,65,2
64,66,2
64,66,2
65,67,2
65,67,2
65,67,2
65,66,1
65,66,1
65,65,0
64,65,1
64,65,1
64,65,1
64,65,1
64,64,0
63,64,1
63,64,1
63,64,1
63,64,1
63,64,1
63,64,1
63,64,1
64,65,1
64,65,1
65,66,1
65,66,1
65,65,0
64,65,1
64,64,0
63,64,1
63,64,1
63,64,1
63,64,1
64,65,1
64,65,1
64,65,1
65,66,1
65,66,1
66,67,1
66,67,1
66,67,1
66,67,1
66,67,1
66,67,1
66,67,1
66,67,1
66,68,2
67,69,2
68,70,2
68,69,1
68,69,1
68,69,1
69,70,1
69,70,1
69,70,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,71,1
70,72,2
70,72,2
