Q_diff,Q_router,Q_oracle
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,1,1
0,0,0
0,1,1
1,2,1
2,2,0
2,3,1
2,2,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
0,1,1
1,1,0
1,1,0
1,2,1
2,2,0
2,3,1
2,2,0
1,1,0
1,1,0
1,1,0
0,1,1
0,1,1
1,2,1
1,3,2
2,3,1
3,4,1
3,4,1
4,5,1
4,5,1
5,5,0
5,5,0
5,5,0
5,5,0
5,6,1
5,6,1
6,7,1
6,8,2
6,7,1
6,8,2
6,9,3
7,10,3
8,10,2
7,9,2
7,10,3
8,10,2
7,10,3
7,10,3
7,9,2
6,9,3
6,8,2
5,8,3
5,8,3
5,8,3
5,9,4
5,8,3
5,9,4
6,9,3
6,9,3
6,10,4
6,10,4
6,9,3
6,9,3
6,10,4
6,10,4
6,9,3
6,10,4
6,10,4
6,10,4
6,9,3
6,8,2
5,8,3
5,8,3
5,7,2
4,7,3
5,8,3
5,8,3
5,8,3
6,8,2
6,9,3
7,10,3
7,9,2
7,10,3
7,11,4
7,11,4
8,12,4
8,12,4
9,12,3
9,12,3
9,12,3
9,12,3
9,12,3
9,13,4
10,13,3
10,14,4
10,14,4
10,14,4
10,14,4
11,14,3
11,14,3
11,14,3
11,15,4
12,15,3
11,14,3
11,15,4
11,14,3
11,14,3
11,14,3
11,14,3
11,14,3
11,13,2
11,13,2
11,12,1
11,12,1
11,13,2
11,13,2
11,12,1
11,12,1
11,12,1
11,12,1
11,12,1
11,12,1
11,13,2
11,13,2
11,14,3
11,13,2
11,14,3
12,15,3
12,14,2
12,14,2
12,15,3
13,15,2
12,14,2
12,13,1
12,13,1
12,14,2
13,14,1
13,14,1
14,15,1
14,14,0
14,15,1
15,15,0
15,16,1
15,15,0
15,16,1
15,15,0
14,14,0
14,15,1
14,14,0
14,15,1
14,15,1
14,15,1
14,16,2
14,16,2
14,17,3
15,17,2
15,17,2
15,17,2
15,17,2
15,17,2
15,17,2
15,18,3
15,18,3
15,18,3
16,18,2
16,17,1
16,17,1
15,17,2
16,17,1
16,17,1
