t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.09572773507059243,0.20435815157217252,10
3,0.18107759587156927,0.2766866815943039,10
4,0.2549855084538814,0.298328394435357,10
5,0.39302401212089894,0.4175469621561617,10
6,0.4767982571458943,0.5229882337673477,10
7,0.745381877026278,0.6767945447283418,10
8,1.0777290036374596,0.8450808524016213,10
9,1.360220346000752,0.9627557587451555,10
10,1.556758935127202,0.9656257045568197,10
11,1.808724155200488,1.0045661437257756,10
12,2.033348606010212,1.0735861532980415,10
13,2.41784822894203,1.0723580474315553,10
14,2.7536820099093036,1.1931475735220805,10
15,2.8817518323129745,1.1781501576722733,10
16,3.0762190963187863,1.3514706786462816,10
17,3.2955711651682735,1.478340063415223,10
18,3.6160068719360487,1.5822131705218871,10
19,3.7054367365318486,1.648571489056974,10
20,3.819244272721015,1.608218200655379,10
21,4.01541828095715,1.8040663615290022,10
22,4.2190500598078176,1.8327455179852656,10
23,4.549900395796426,1.9431846759926037,10
24,4.796046718649463,2.014785562159862,10
25,5.060917927477803,2.1873827091872013,10
26,5.382423291315816,2.195757456682457,10
27,5.48378554915085,2.2579659097752565,10
28,5.681315386518611,2.3076640984288885,10
29,5.7790205289477985,2.4012638892683373,10
30,6.055149440901934,2.4973722457175,10
31,6.207612051291136,2.586148405050411,10
32,6.4833252150594705,2.6265627584405804,10
33,6.679570813947585,2.524474814761652,10
34,6.891348116835431,2.4066382799776864,10
35,7.103994863372142,2.3264837569548478,10
36,7.304517076988683,2.221992811649495,10
37,7.638689203152761,2.4259332108368414,10
38,7.919631952194966,2.480180321258259,10
39,8.30485469707137,2.489995091931103,10
40,8.685541164225468,2.5108964988654003,10
41,9.013866550829592,2.488930398612817,10
42,9.10554602272759,2.477563530853161,10
43,9.32693898371875,2.4150027805125127,10
44,9.535599617214618,2.4248830935569514,10
45,10.003665630171426,2.453675958696964,10
46,10.140309893137067,2.4976967266205814,10
47,10.410337715653146,2.478193646273968,10
48,10.60665719045397,2.3223542450129964,10
49,10.674552852484734,2.291483814115546,10
50,10.991625981836327,2.4079164739105354,10
51,11.133121560668444,2.4135579326382346,10
52,11.412430542092878,2.269417379221882,10
53,11.670950514102007,2.272047956270777,10
54,11.945019942534477,2.251567223758197,10
55,12.273328566882466,2.2834844216483963,10
56,12.301077551421796,2.2803284640096253,10
57,12.63845446041812,2.2941410840328924,10
58,12.848562219865878,2.3870447966892647,10
59,13.111904363607579,2.4380896735701225,10
60,13.505267250601529,2.5295650900354167,10
61,13.712559732908886,2.5619194417948834,10
62,13.907306871490178,2.5699657792192796,10
63,13.990188857547915,2.622802214737379,10
64,14.20194998567131,2.6397703479443075,10
65,14.398673722769294,2.541209525864044,10
66,14.816908258932727,2.6597234380393298,10
67,14.949968626238014,2.6709181660648325,10
68,15.226843589886977,2.7212583961331847,10
69,15.561767195181895,2.6628083617477736,10
70,15.891338472094072,2.4381926360494295,10
71,16.157348072760236,2.3605541529961207,10
72,16.37133059531427,2.2496516236445276,10
73,16.516279361755288,2.4110615705141356,10
74,16.79137781994953,2.3587017575845852,10
75,16.923753463529096,2.4573817891082923,10
76,17.255037007267585,2.5110647525268983,10
77,17.274659937324582,2.5288068985064625,10
78,17.663385578806658,2.4875011894565504,10
79,17.792929987888197,2.5561793882645834,10
80,18.067603500923923,2.6721378910377673,10
81,18.428029154293043,2.694975199467887,10
82,18.882730512378195,2.6847439020691573,10
83,19.09754879302472,2.5389412967015503,10
