Q_diff,Q_router,Q_oracle
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
1,1,0
0,0,0
0,1,1
0,0,0
0,1,1
0,1,1
1,2,1
2,3,1
2,3,1
2,2,0
2,3,1
2,3,1
2,2,0
2,2,0
2,3,1
3,4,1
3,5,2
4,5,1
3,4,1
3,4,1
2,4,2
3,5,2
4,5,1
4,4,0
4,4,0
3,4,1
4,5,1
4,4,0
4,4,0
4,5,1
4,4,0
4,5,1
5,5,0
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,5,0
5,5,0
5,6,1
6,7,1
7,8,1
7,8,1
7,8,1
7,8,1
8,8,0
8,8,0
7,7,0
7,7,0
7,8,1
8,9,1
9,9,0
9,9,0
9,10,1
9,9,0
9,9,0
8,8,0
8,9,1
8,10,2
8,11,3
9,11,2
9,12,3
9,11,2
9,10,1
9,10,1
9,10,1
9,9,0
9,9,0
8,9,1
8,9,1
9,10,1
9,10,1
9,11,2
9,10,1
8,10,2
9,10,1
9,11,2
10,11,1
10,11,1
10,11,1
10,11,1
10,11,1
10,11,1
10,11,1
9,10,1
9,11,2
10,12,2
10,12,2
10,11,1
10,12,2
11,13,2
11,12,1
11,12,1
11,12,1
11,12,1
11,12,1
11,13,2
12,13,1
12,14,2
13,14,1
13,15,2
14,16,2
14,16,2
14,15,1
13,14,1
12,13,1
12,13,1
12,14,2
12,13,1
12,13,1
12,13,1
12,13,1
12,13,1
12,14,2
12,14,2
13,14,1
13,14,1
12,14,2
13,15,2
13,15,2
13,15,2
14,16,2
14,15,1
13,15,2
13,14,1
13,14,1
13,13,0
13,13,0
12,12,0
12,13,1
12,12,0
12,12,0
12,13,1
13,13,0
13,13,0
12,13,1
12,13,1
13,13,0
12,12,0
12,12,0
12,13,1
12,13,1
12,13,1
12,13,1
12,12,0
12,13,1
13,13,0
13,14,1
13,14,1
12,13,1
12,13,1
11,12,1
11,12,1
11,12,1
11,12,1
11,12,1
11,12,1
11,12,1
11,12,1
11,12,1
11,11,0
11,12,1
11,12,1
12,13,1
12,13,1
13,13,0
