Q_diff,Q_router,Q_oracle
0,0,0
0,1,1
1,2,1
1,2,1
1,2,1
2,3,1
2,3,1
3,3,0
2,3,1
3,4,1
4,5,1
4,5,1
5,6,1
6,7,1
6,7,1
7,7,0
6,7,1
6,7,1
6,7,1
6,7,1
7,7,0
7,8,1
7,8,1
7,9,2
7,9,2
8,10,2
8,9,1
8,9,1
8,9,1
8,8,0
7,8,1
7,8,1
8,8,0
8,9,1
9,10,1
9,10,1
9,10,1
9,10,1
9,10,1
9,9,0
8,9,1
8,9,1
9,10,1
10,10,0
10,11,1
11,11,0
11,12,1
12,13,1
13,14,1
13,14,1
13,13,0
13,13,0
12,13,1
12,12,0
11,11,0
10,11,1
10,11,1
11,12,1
12,13,1
12,13,1
12,12,0
12,12,0
12,12,0
11,11,0
10,11,1
10,11,1
10,11,1
11,11,0
10,11,1
10,10,0
10,10,0
9,10,1
9,9,0
9,9,0
9,10,1
9,10,1
10,10,0
9,10,1
10,10,0
9,10,1
9,9,0
9,10,1
9,10,1
9,10,1
9,10,1
9,9,0
9,10,1
9,11,2
9,10,1
8,9,1
8,10,2
8,10,2
9,11,2
10,11,1
10,12,2
11,13,2
12,13,1
12,14,2
11,14,3
12,15,3
12,15,3
12,15,3
12,15,3
12,15,3
12,15,3
12,15,3
12,16,4
12,16,4
12,16,4
13,16,3
13,17,4
13,17,4
13,16,3
13,17,4
13,17,4
13,16,3
13,17,4
13,17,4
13,17,4
13,17,4
13,17,4
14,17,3
13,17,4
14,18,4
15,19,4
16,19,3
15,19,4
16,20,4
16,20,4
16,20,4
16,20,4
16,21,5
16,21,5
17,22,5
17,23,6
17,22,5
17,22,5
17,23,6
18,24,6
19,24,5
18,24,6
18,23,5
18,23,5
19,23,4
19,23,4
20,23,3
20,24,4
20,23,3
19,23,4
19,23,4
19,22,3
19,21,2
18,21,3
18,21,3
18,21,3
18,21,3
18,21,3
18,21,3
18,21,3
18,21,3
19,21,2
19,21,2
18,21,3
18,21,3
18,20,2
17,19,2
17,20,3
17,20,3
17,20,3
18,21,3
18,20,2
18,20,2
17,19,2
17,20,3
17,19,2
16,19,3
16,19,3
16,19,3
17,19,2
17,20,3
17,19,2
16,19,3
17,20,3
16,20,4
