Q_diff,Q_router,Q_oracle
0,1,1
0,1,1
0,1,1
0,1,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,1,0
1,2,1
2,3,1
3,4,1
3,4,1
3,4,1
3,4,1
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
4,4,0
4,4,0
3,3,0
3,4,1
3,5,2
4,5,1
4,5,1
4,5,1
4,5,1
4,4,0
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,5,2
3,5,2
3,5,2
3,5,2
3,5,2
3,5,2
3,5,2
4,6,2
4,6,2
4,6,2
4,6,2
4,5,1
4,4,0
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
4,4,0
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,3,0
2,3,1
2,2,0
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
2,3,1
3,4,1
3,4,1
3,4,1
4,5,1
5,5,0
4,5,1
5,5,0
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
6,6,0
5,6,1
6,6,0
5,6,1
5,6,1
6,7,1
7,8,1
7,8,1
8,9,1
8,9,1
8,9,1
9,9,0
9,9,0
8,9,1
8,9,1
8,8,0
7,8,1
7,8,1
8,9,1
8,9,1
9,9,0
8,9,1
8,9,1
8,9,1
8,9,1
8,9,1
9,10,1
9,10,1
9,10,1
10,11,1
10,11,1
10,10,0
9,10,1
9,10,1
9,9,0
9,9,0
8,9,1
8,9,1
8,9,1
8,9,1
8,9,1
9,10,1
9,10,1
9,10,1
10,11,1
10,11,1
10,11,1
10,11,1
11,12,1
12,13,1
13,14,1
14,15,1
15,16,1
15,16,1
15,16,1
16,17,1
16,17,1
16,17,1
16,16,0
15,16,1
15,16,1
15,16,1
15,16,1
15,16,1
15,16,1
15,16,1
16,17,1
17,18,1
17,18,1
18,19,1
19,20,1
20,21,1
20,21,1
20,21,1
20,21,1
20,21,1
20,21,1
21,22,1
21,22,1
21,21,0
20,21,1
20,21,1
20,21,1
20,21,1
20,21,1
20,21,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
22,23,1
22,23,1
22,22,0
21,22,1
21,21,0
21,22,1
22,23,1
22,23,1
22,23,1
22,23,1
22,22,0
22,23,1
22,23,1
22,23,1
22,23,1
22,23,1
22,22,0
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
21,21,0
20,21,1
20,21,1
20,21,1
20,21,1
20,21,1
20,21,1
20,21,1
21,22,1
21,22,1
22,23,1
22,23,1
22,22,0
22,23,1
23,24,1
24,24,0
23,24,1
24,25,1
25,26,1
25,26,1
26,27,1
26,27,1
26,26,0
25,26,1
25,25,0
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
26,27,1
26,27,1
26,27,1
26,28,2
27,29,2
27,29,2
27,28,1
28,28,0
27,28,1
27,28,1
27,27,0
26,27,1
27,28,1
27,28,1
27,27,0
27,28,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,28,0
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
29,29,0
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
29,30,1
29,30,1
29,29,0
28,29,1
28,29,1
28,29,1
28,29,1
29,30,1
29,30,1
29,30,1
29,30,1
30,31,1
31,31,0
31,32,1
32,33,1
32,33,1
32,33,1
32,33,1
32,33,1
32,33,1
32,32,0
31,32,1
32,33,1
32,33,1
33,34,1
33,34,1
33,33,0
32,33,1
32,33,1
33,34,1
33,34,1
33,34,1
34,35,1
34,35,1
34,35,1
34,35,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,37,2
35,37,2
36,38,2
36,38,2
36,38,2
36,38,2
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,36,0
35,36,1
35,36,1
35,35,0
34,34,0
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
34,35,1
34,35,1
34,35,1
34,35,1
34,34,0
33,34,1
33,34,1
33,34,1
33,34,1
34,35,1
34,34,0
34,35,1
35,36,1
35,36,1
35,35,0
34,34,0
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,33,0
32,33,1
32,33,1
32,33,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
33,34,1
34,35,1
34,35,1
35,36,1
35,35,0
34,35,1
34,35,1
34,35,1
34,36,2
35,37,2
35,37,2
35,36,1
35,36,1
35,36,1
35,36,1
35,35,0
34,35,1
34,35,1
34,35,1
34,35,1
34,35,1
35,36,1
35,36,1
36,37,1
36,37,1
36,36,0
35,35,0
34,35,1
34,35,1
34,35,1
35,36,1
35,36,1
35,36,1
35,35,0
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
35,36,1
36,37,1
36,37,1
36,37,1
36,37,1
37,37,0
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
38,39,1
38,39,1
38,39,1
38,38,0
38,39,1
