t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.4,0.6992058987801011,10
5,0.6,0.8432740427115679,10
6,0.8,1.0327955589886446,10
7,0.8,1.0327955589886446,10
8,1.1,1.1972189997378648,10
9,1.2,1.398411797560202,10
10,1.3,1.4181364924121764,10
11,1.4,1.429840705968481,10
12,1.7,1.636391694484477,10
13,1.8,1.6193277068654828,10
14,1.9,1.7919573407620817,10
15,2.4,1.837873166945363,10
16,2.6,1.9550504398153572,10
17,2.4,1.837873166945363,10
18,2.4,1.837873166945363,10
19,2.4,2.0110804171997807,10
20,2.4,2.1186998109427604,10
21,2.5,2.223610677354389,10
22,2.5,2.3687784005919825,10
23,2.7,2.5407785333546005,10
24,2.7,2.7100635498903793,10
25,3.0,2.8284271247461903,10
26,3.3,2.7100635498903793,10
27,3.0,2.6246692913372702,10
28,2.9,2.4244128727957577,10
29,3.2,2.2997584414213788,10
30,3.3,2.7100635498903793,10
31,3.7,2.584139659108574,10
32,3.5,2.4608038433722332,10
33,3.1,2.2335820757001272,10
34,3.1,2.5144029554194813,10
35,3.6,2.503331114069145,10
36,3.5,2.8771127502720115,10
37,4.0,3.0912061651652345,10
38,4.3,3.1989581637360205,10
39,4.1,3.4785054261852175,10
40,4.0,3.39934634239519,10
41,3.7,3.3015148038438356,10
42,3.9,3.5730472522297636,10
43,4.0,3.6209268304000717,10
44,4.2,3.852848873813304,10
45,4.1,4.04007700696685,10
46,3.7,3.7727090178455764,10
47,3.8,3.852848873813304,10
48,3.9,4.094712037087183,10
49,4.0,3.8297084310253524,10
50,4.1,4.0124805295477755,10
51,4.0,3.4641016151377544,10
52,4.2,3.7357135269658395,10
53,4.4,3.627058802329452,10
54,4.6,3.565264521898917,10
55,4.8,3.521363372331802,10
56,4.5,3.6285901761795403,10
57,4.3,3.4334951418181574,10
58,4.5,3.4721111093332766,10
59,4.6,3.6270588023294517,10
60,4.5,3.3082388735465345,10
61,4.5,3.064129385141706,10
62,4.3,3.093002855909879,10
63,4.4,3.0983866769659336,10
64,4.5,3.1710495984067415,10
65,4.9,3.2812599206199238,10
66,5.1,3.4464152068167553,10
67,5.4,3.687817782917155,10
68,5.4,3.5023801430836525,10
69,5.5,3.4399612400917157,10
70,5.9,3.478505426185217,10
71,6.1,2.960855732160327,10
72,5.9,2.923088169119167,10
73,5.7,3.020301677353145,10
74,5.8,2.7406406388125957,10
75,5.9,3.1073389830457114,10
76,6.1,3.3813212407775355,10
77,6.7,3.497618237219913,10
78,6.6,3.7771241264574114,10
79,6.6,3.9496835316262997,10
80,6.5,3.9791121287711073,10
81,6.8,3.7653389990514503,10
82,6.9,3.8137179293236207,10
83,7.2,3.9665266081716046,10
84,7.5,4.169998667732268,10
85,8.0,4.371625682868,10
86,8.0,4.242640687119285,10
87,8.1,4.605552204797066,10
88,8.2,5.028805910838963,10
89,8.2,4.962078417580905,10
90,8.7,5.143496432929215,10
91,8.9,5.258854966202772,10
92,9.3,5.143496432929215,10
93,9.4,5.295700562196133,10
94,9.5,5.233439489369194,10
95,9.9,5.173651192984184,10
96,10.2,5.028805910838963,10
97,10.6,4.971027168615267,10
98,10.9,5.10881590977792,10
99,11.2,5.094659513211414,10
100,11.2,4.8488257455915145,10
101,11.4,4.29987079909256,10
102,11.2,4.756282395129858,10
103,11.5,5.060742150229659,10
104,11.7,5.207899981971833,10
105,11.9,5.384133067531753,10
106,12.1,5.321862664727663,10
107,12.4,5.232377832092955,10
108,12.8,5.43241300999023,10
109,13.2,5.672545969648706,10
110,13.5,6.168918507773916,10
111,13.6,6.310485101972924,10
112,13.5,6.276056794587577,10
113,13.2,6.528569691917382,10
114,13.6,6.736302975503534,10
115,13.3,7.008724721532601,10
116,13.4,6.769211344183473,10
117,13.4,6.43255608430877,10
118,13.4,6.131883886702357,10
119,13.4,6.310485101972924,10
120,13.7,6.566751268490549,10
121,13.9,6.756889488185785,10
122,14.0,7.039570693980958,10
123,14.1,7.0624201077093804,10
124,14.1,6.919376979018977,10
125,14.1,6.573515886579351,10
126,14.2,6.338594306135847,10
127,14.2,6.051629716218783,10
128,14.5,6.2048368229954285,10
129,14.4,6.397916327472041,10
130,14.8,6.579429222120175,10
131,15.2,6.460134157533676,10
132,15.3,6.464432603785802,10
133,15.5,6.60387091871965,10
134,15.9,6.640783086353596,10
135,16.3,6.412661087428699,10
136,16.5,6.2048368229954285,10
137,16.6,6.131883886702357,10
138,16.7,6.481597882552659,10
139,16.8,6.408327915038889,10
140,16.7,6.3779132776934,10
141,16.8,6.679986693266853,10
142,17.4,6.899275324264136,10
143,17.5,6.916164640415476,10
144,17.8,7.114929530376406,10
145,17.9,7.430417963419764,10
146,18.1,7.355270219373317,10
147,18.5,7.352248333370926,10
148,18.8,7.177124153246279,10
149,18.8,7.0206045956804095,10
150,18.8,6.7461923416925424,10
151,19.2,6.89283041363351,10
152,19.5,7.106335201775948,10
153,19.6,7.3363630105265525,10
154,19.9,7.309810759064377,10
155,19.7,7.349225204816567,10
