t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.3,0.6749485577105528,10
4,0.5,0.7071067811865476,10
5,0.5,0.5270462766947299,10
6,0.5,0.5270462766947299,10
7,1.0,0.6666666666666666,10
8,1.6,0.9660917830792959,10
9,1.9,1.1972189997378648,10
10,2.0,1.247219128924647,10
11,2.4,1.6465452046971294,10
12,2.7,1.4944341180973264,10
13,2.8,1.3984117975602022,10
14,3.1,1.66332999331662,10
15,3.2,1.6865480854231356,10
16,3.4,1.776388345929897,10
17,3.4,1.7126976771553506,10
18,3.8,1.5491933384829668,10
19,3.9,1.5951314818673865,10
20,3.8,1.6193277068654826,10
21,4.2,1.9888578520235063,10
22,4.6,2.1705094128132942,10
23,4.9,2.4244128727957577,10
24,5.2,2.5298221281347035,10
25,5.3,2.7507574714370344,10
26,5.4,2.8751811537130436,10
27,5.6,2.913569784454954,10
28,5.8,3.293090409394259,10
29,6.1,3.6040101122068027,10
30,6.7,3.7133393177689658,10
31,7.0,3.9440531887330774,10
32,7.2,3.8528488738133038,10
33,7.3,3.8311588035185618,10
34,7.5,4.143267631552018,10
35,8.0,4.136557881996952,10
36,8.3,4.372896319628699,10
37,8.6,4.402019738458447,10
38,8.6,4.6475800154489,10
39,8.6,4.926120853842978,10
40,9.0,4.96655480858378,10
41,9.1,5.216427044549852,10
42,9.4,5.168279318217148,10
43,9.4,4.948624949305503,10
44,9.6,5.103375789067903,10
45,9.9,5.152130088074684,10
46,10.2,5.3499740393970345,10
47,10.5,5.6421036266035856,10
48,10.5,5.7397251192408545,10
49,10.8,5.865151319446072,10
50,10.8,5.769652406245014,10
51,10.8,5.769652406245014,10
52,10.8,5.902918298980975,10
53,10.9,5.989806155275626,10
54,11.1,6.1544924874255695,10
55,11.2,6.160808027812225,10
56,11.2,6.014796569941312,10
57,11.7,6.1472667819844045,10
58,12.2,5.996295152471696,10
59,12.2,6.051629716218783,10
60,12.5,5.986094998689324,10
61,12.7,6.09280085200741,10
62,12.8,5.846176338238334,10
63,13.1,5.8395205282625735,10
64,13.4,5.985166849990251,10
65,13.7,5.8509258526606995,10
66,13.9,6.2084172253839744,10
67,14.5,6.258327785172862,10
68,15.0,6.548960901462833,10
69,15.1,6.384877968032488,10
70,15.3,6.165315167216605,10
71,15.6,6.022181221672649,10
72,15.9,6.063552314169201,10
73,16.3,6.092800852007411,10
74,16.2,6.425643072011462,10
75,16.5,6.381396573025549,10
76,16.4,6.586180818788517,10
77,16.8,6.957010852370435,10
78,16.9,7.355270219373317,10
79,17.1,7.355270219373317,10
80,17.3,7.528464503321895,10
81,17.6,7.604092465391398,10
82,17.9,7.489993324429602,10
83,17.9,7.68042244208539,10
84,18.2,7.627435858647242,10
85,18.4,7.7774603109812706,10
86,18.6,7.7201036262475125,10
87,19.0,7.688375063113864,10
88,19.1,7.549098548097573,10
89,19.2,7.685484153042453,10
90,19.2,7.757433710820723,10
91,19.3,7.846442930823283,10
92,19.6,7.705697747626608,10
93,19.7,7.732327520797919,10
94,20.0,7.916228058025278,10
95,20.3,7.803845206050668,10
96,20.8,8.107609594284455,10
97,20.7,8.097324661063473,10
98,20.8,7.927448797970533,10
99,21.3,7.498888806572167,10
100,21.4,7.32120208708925,10
101,21.4,7.306009702825324,10
102,21.6,7.3363630105265525,10
103,21.6,7.136759301905405,10
104,21.7,7.024560089033651,10
105,21.9,6.967384333050994,10
106,22.2,6.860515043833566,10
107,22.5,7.121953539740499,10
108,22.6,7.058485830702094,10
109,23.0,7.133644853010899,10
110,23.2,7.2387844283415435,10
111,23.1,7.078135347674555,10
112,23.3,6.961002482082272,10
113,23.4,6.769211344183473,10
114,23.6,6.818276093624318,10
115,23.5,6.75359986311827,10
116,23.7,6.61731734835869,10
117,23.7,7.008724721532601,10
118,23.8,7.004760286167305,10
119,24.1,7.078135347674555,10
120,24.3,7.409453421137082,10
121,24.6,7.589466384404111,10
122,24.7,7.484057129065164,10
123,25.0,7.644896627453143,10
124,25.2,7.583608053631933,10
125,25.2,7.583608053631933,10
126,25.3,7.761013679496599,10
127,25.4,7.904991390816875,10
128,25.6,8.0718991294215,10
129,25.7,8.097324661063471,10
130,25.7,8.097324661063471,10
131,25.8,8.134972512416853,10
132,25.7,8.179242018671413,10
133,25.8,8.323994767471259,10
134,25.8,8.310635755865292,10
135,26.1,8.252272414311102,10
136,26.2,8.148619514985347,10
137,26.7,8.069834088890689,10
138,26.9,8.075339690137568,10
139,27.2,8.134972512416853,10
140,27.1,7.950541560869368,10
141,27.2,7.699927849589819,10
142,27.4,7.820201759261429,10
143,27.4,8.113089560840693,10
144,27.6,7.890923055426828,10
145,27.6,7.862710869809612,10
146,27.8,7.941452428030194,10
147,28.0,7.7746025264604,10
148,28.3,7.645623294117724,10
149,28.6,7.3363630105265525,10
150,28.9,7.475143997126596,10
151,29.6,7.515909052728677,10
152,29.8,7.345444544447637,10
153,30.0,7.302967433402215,10
154,30.4,7.4266786355379315,10
155,30.8,7.269418439218122,10
156,31.2,6.988880056521534,10
157,31.1,7.078135347674555,10
