t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.3,0.6749485577105528,10
4,0.5,0.7071067811865476,10
5,0.4,0.5163977794943223,10
6,0.4,0.5163977794943223,10
7,0.7,0.6749485577105528,10
8,1.3,0.9486832980505138,10
9,1.6,1.2649110640673518,10
10,1.7,1.2516655570345725,10
11,2.1,1.449137674618944,10
12,2.0,1.4142135623730951,10
13,2.3,1.1595018087284057,10
14,2.5,1.35400640077266,10
15,2.7,1.5670212364724212,10
16,2.7,1.888562063228706,10
17,2.6,1.8973665961010275,10
18,3.0,2.211083193570267,10
19,2.9,2.378141197564929,10
20,2.7,2.1628170930011112,10
21,3.1,2.4244128727957572,10
22,3.3,2.5407785333546005,10
23,3.6,2.7162065049951147,10
24,3.9,2.923088169119167,10
25,3.9,2.8460498941515415,10
26,4.1,2.8848262031225076,10
27,4.3,2.9832867780352594,10
28,4.3,2.9832867780352594,10
29,4.2,3.119829055146024,10
30,4.6,3.0983866769659336,10
31,4.7,3.3349995835415367,10
32,5.1,3.142893217686178,10
33,5.3,3.0568684048294332,10
34,5.6,2.988868236194653,10
35,5.8,3.1198290551460244,10
36,6.1,3.3149493041204847,10
37,6.2,3.675746333890726,10
38,5.9,3.8137179293236207,10
39,5.9,3.956710193526379,10
40,6.2,3.7058512292499457,10
41,6.0,3.7712361663282534,10
42,6.3,4.001388647846033,10
43,6.3,3.7133393177689658,10
44,6.3,3.7133393177689658,10
45,6.4,3.657564459825388,10
46,6.8,3.9665266081716046,10
47,6.9,4.25440947723653,10
48,7.0,4.268749491621899,10
49,7.3,4.056544780420347,10
50,7.3,4.3982319680121975,10
51,7.5,3.9791121287711073,10
52,7.7,4.2176876234364356,10
53,7.6,4.452215428550399,10
54,7.7,4.473378042498879,10
55,7.8,4.417138339593985,10
56,7.6,4.623610902506587,10
57,7.5,4.377975178854566,10
58,7.9,4.280446497997869,10
59,8.4,4.4522154285504,10
60,8.6,4.168666186896929,10
61,8.5,4.478342947514801,10
62,8.6,4.273952113286562,10
63,8.3,4.620004810002307,10
64,8.7,4.691600058733813,10
65,8.8,4.685675570881488,10
66,8.9,4.483302354291979,10
67,9.2,4.565571644870382,10
68,9.5,4.85912657903775,10
69,9.5,4.624812308503869,10
70,9.4,4.695151163109069,10
71,9.8,4.237399621885521,10
72,10.0,4.642796092394707,10
73,10.3,4.922736366426028,10
74,10.0,5.14241620684717,10
75,10.1,5.486346689738082,10
76,10.3,5.457919831665622,10
77,10.6,5.621387729022078,10
78,10.7,5.812821078348179,10
79,10.9,5.626327003965869,10
80,10.9,5.78215646046813,10
81,11.4,5.796550698475775,10
82,11.8,5.959119994689746,10
83,11.9,6.1544924874255695,10
84,12.0,5.94418483337567,10
85,12.0,5.94418483337567,10
86,12.2,5.7310072800899885,10
87,12.1,5.820461990063828,10
88,12.3,5.755190893638735,10
89,12.3,5.677440737985148,10
90,12.2,5.7115866641610396,10
91,12.5,5.835713800003866,10
92,12.8,5.808040403899867,10
93,12.9,5.685263601823773,10
94,12.8,5.846176338238334,10
95,13.1,5.743595467030116,10
96,13.6,5.777350411544878,10
97,13.7,5.888784066153027,10
98,13.6,5.94792213951879,10
99,13.7,5.982381539896038,10
100,13.8,5.846176338238334,10
101,14.0,6.2182527020592095,10
102,14.0,6.0553007081949835,10
103,13.9,6.1544924874255695,10
104,13.8,6.2325311426774626,10
105,13.8,6.442911695119771,10
106,14.2,6.124631508189788,10
107,14.3,6.219146064997813,10
108,14.3,6.395310782127793,10
109,14.6,6.131883886702357,10
110,14.9,5.971227307309239,10
111,15.0,5.981452814975453,10
112,15.1,6.136412270663987,10
113,15.3,6.03784361801095,10
114,15.4,6.221825384170718,10
115,15.3,6.395310782127793,10
116,15.7,6.111010100175293,10
117,15.8,6.142746399887703,10
118,16.0,6.0553007081949835,10
119,16.2,6.0699624747146865,10
120,16.5,6.416125518306719,10
121,16.8,6.511528238439883,10
122,16.9,6.8386158443552505,10
123,17.3,6.864562784491247,10
124,17.7,6.848357467305573,10
125,18.0,6.912147117775907,10
126,18.1,7.093815773067568,10
127,18.3,7.10320741324337,10
128,18.4,6.719788356455548,10
129,18.4,6.769211344183473,10
130,18.4,6.686636756330578,10
131,18.4,6.736302975503534,10
132,18.4,6.703233050799691,10
133,18.8,6.924994985958874,10
134,18.8,6.528569691917382,10
135,18.8,6.762642481555071,10
136,18.8,6.562519841239847,10
137,19.2,6.390965845976995,10
138,19.6,6.752777206453653,10
139,19.8,7.052186422190875,10
140,19.8,7.554248252914824,10
141,19.9,7.264066813202275,10
142,19.8,7.330302403948512,10
143,19.7,7.528464503321894,10
144,19.7,7.484057129065165,10
145,19.6,7.4565407529228995,10
146,19.7,7.528464503321894,10
147,20.2,7.671013260609347,10
148,20.3,7.572611467944493,10
149,20.2,7.627435858647241,10
150,20.2,7.728734264634366,10
151,20.7,8.083591061183416,10
152,20.8,8.066391179868893,10
153,20.9,7.752418977325722,10
154,21.0,7.731609003162134,10
155,21.2,7.955431408094025,10
156,21.5,7.919736247011148,10
157,21.7,8.124722217473723,10
158,21.8,8.0801540139337,10
159,21.9,8.033955715862792,10
160,21.9,8.006247560499238,10
161,21.8,7.969385867876589,10
162,21.9,8.292566952799758,10
163,22.3,8.499019551297275,10
164,22.8,8.689712947566859,10
165,23.3,8.680117766738217,10
166,24.0,8.55050355892044,10
167,24.1,8.582281488948935,10
168,24.2,8.038794823990859,10
169,24.1,8.238797107453113,10
170,23.9,8.033955715862792,10
171,24.2,8.243515970479804,10
172,24.1,7.752418977325722,10
173,23.9,7.880355321938218,10
174,23.8,7.9833159359587755,10
175,24.3,8.233400809440099,10
176,24.4,8.262364471909155,10
177,24.1,8.02011360407209,10
178,24.3,8.165646194746486,10
179,24.2,8.024961059095553,10
180,24.5,7.947746011710909,10
181,24.7,7.9589223167740775,10
182,24.9,8.02011360407209,10
183,25.0,8.013876853447538,10
184,24.8,8.162243700247023,10
185,24.9,8.238797107453113,10
186,25.2,8.052604823561408,10
187,25.2,7.941452428030194,10
188,25.3,7.631076813486635,10
189,25.5,8.07258735887489,10
190,25.7,8.042249547096743,10
191,25.7,8.273787255879594,10
192,25.5,8.127456893491072,10
193,25.7,8.433399209228876,10
194,25.7,8.35397443669113,10
195,25.7,7.916929820187733,10
196,25.9,8.225299724359932,10
197,26.3,8.327331171776732,10
198,26.5,8.59263250310016,10
199,26.8,8.390470785361213,10
200,27.0,8.41955396021006,10
201,26.7,8.628763269180327,10
202,26.6,8.859395514869448,10
203,26.5,9.216531041798994,10
204,26.9,9.230986464680312,10
205,26.8,9.052930771609576,10
206,26.8,8.676917015212771,10
207,27.0,8.743251365736,10
208,27.4,8.566082989195108,10
209,27.7,8.48593607748203,10
210,27.7,8.393780766469634,10
211,28.0,8.459051693633013,10
212,28.1,8.491171886141512,10
213,28.3,8.628763269180327,10
214,28.3,8.692908987598264,10
215,28.2,8.59974159818512,10
216,28.2,8.390470785361213,10
217,28.2,8.66410218468519,10
218,28.1,8.478076301719499,10
219,28.5,8.276472678623424,10
220,28.6,8.194849330863597,10
221,29.0,8.628119403696523,10
222,29.3,8.794569031194447,10
223,29.4,8.75848794662133,10
224,29.4,8.720346578229815,10
225,29.6,8.235424835563872,10
226,29.8,8.534895690308373,10
227,29.8,8.753412033157254,10
228,29.9,8.685236515681845,10
229,30.0,8.70504323813373,10
230,30.2,8.560892995995738,10
231,30.8,8.689712947566859,10
232,30.8,8.52186729667989,10
233,31.3,8.246884933786278,10
234,31.5,8.07258735887489,10
235,31.6,7.7774603109812706,10
236,31.9,8.143845665422585,10
237,32.1,8.04777401935881,10
238,32.3,7.986794656737388,10
239,32.6,8.221921916437786,10
240,32.5,8.289886743630593,10
241,32.6,8.395766128763288,10
242,32.6,8.461678320522472,10
243,32.6,8.275801404630785,10
244,32.4,8.527081042837057,10
245,32.3,8.433399209228876,10
246,32.5,8.605553762283725,10
247,32.7,8.641630504585219,10
248,32.8,8.59974159818512,10
249,33.1,8.786985325531795,10
250,33.2,8.766096305907462,10
251,33.7,8.48593607748203,10
252,33.8,8.482662055955993,10
