t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.0,0.0,10
4,0.3,0.4830458915396479,10
5,0.3,0.4830458915396479,10
6,0.3,0.6749485577105528,10
7,0.5,0.7071067811865476,10
8,0.6,0.6992058987801011,10
9,0.7,0.9486832980505138,10
10,0.9,0.8755950357709131,10
11,1.1,0.9944289260117531,10
12,1.2,0.9189365834726815,10
13,1.5,1.0801234497346435,10
14,1.7,1.2516655570345725,10
15,1.7,1.1595018087284057,10
16,1.8,1.3165611772087666,10
17,1.7,1.4944341180973262,10
18,1.9,1.66332999331662,10
19,2.0,1.699673171197595,10
20,1.9,1.3703203194062978,10
21,2.3,1.4181364924121764,10
22,2.3,1.5670212364724212,10
23,2.3,1.766981104093143,10
24,2.5,1.7795130420052185,10
25,2.8,1.8135294011647258,10
26,2.8,1.8135294011647258,10
27,2.6,1.6465452046971292,10
28,2.1,1.3703203194062976,10
29,2.0,1.632993161855452,10
30,1.9,1.728840330651992,10
31,1.8,1.7511900715418263,10
32,1.7,1.70293863659264,10
33,1.6,1.776388345929897,10
34,1.6,1.837873166945363,10
35,1.6,1.776388345929897,10
36,2.0,1.8856180831641267,10
37,2.0,1.8856180831641267,10
38,2.0,1.7638342073763937,10
39,2.0,1.7638342073763937,10
40,1.8,1.6865480854231358,10
41,1.6,1.6465452046971294,10
42,2.0,1.8856180831641267,10
43,2.1,1.8529256146249728,10
44,1.9,1.66332999331662,10
45,1.7,1.8287822299126937,10
46,1.7,1.8287822299126937,10
47,1.7,1.8287822299126935,10
48,2.0,2.1081851067789197,10
49,1.8,2.14993539954628,10
50,2.0,2.0,10
51,1.9,1.9692073983655907,10
52,1.6,1.837873166945363,10
53,1.3,1.8287822299126937,10
54,1.6,1.7126976771553504,10
55,1.6,1.837873166945363,10
56,1.4,1.8973665961010275,10
57,1.4,1.837873166945363,10
58,1.1,1.3703203194062978,10
59,1.3,1.3374935098492586,10
60,1.2,1.3984117975602022,10
61,1.2,1.5491933384829668,10
62,1.3,1.4944341180973264,10
63,1.2,1.3984117975602022,10
64,1.0,1.247219128924647,10
65,0.9,1.449137674618944,10
66,1.0,1.1547005383792515,10
67,1.0,1.1547005383792515,10
68,1.1,1.1005049346146119,10
69,1.1,1.1972189997378648,10
70,1.0,1.1547005383792515,10
71,0.8,0.9189365834726815,10
72,0.8,1.0327955589886446,10
73,0.8,1.0327955589886446,10
74,0.8,0.7888106377466155,10
75,1.0,1.0540925533894598,10
76,1.0,1.0540925533894598,10
77,1.2,1.0327955589886444,10
78,1.2,1.2292725943057183,10
79,1.2,1.0327955589886444,10
80,1.2,0.9189365834726815,10
81,1.4,1.1737877907772671,10
82,1.1,1.1005049346146119,10
83,1.2,1.0327955589886444,10
84,1.6,1.1737877907772671,10
85,1.4,1.1737877907772671,10
86,1.2,1.0327955589886446,10
87,1.5,0.8498365855987975,10
88,1.5,0.8498365855987975,10
89,1.3,0.6749485577105528,10
90,1.2,0.7888106377466155,10
91,1.3,1.0593499054713802,10
92,1.3,1.0593499054713802,10
93,1.3,1.0593499054713802,10
94,1.1,0.9944289260117533,10
95,1.0,0.9428090415820634,10
96,1.1,1.1972189997378648,10
97,1.0,1.247219128924647,10
98,0.5,0.8498365855987975,10
99,0.5,0.8498365855987975,10
100,1.0,1.247219128924647,10
101,1.2,1.2292725943057183,10
102,1.2,1.1352924243950933,10
103,1.2,1.0327955589886444,10
104,1.1,1.1005049346146119,10
105,1.1,0.875595035770913,10
106,1.4,0.9660917830792959,10
107,1.5,1.0801234497346435,10
108,1.4,0.9660917830792959,10
109,1.4,1.07496769977314,10
110,1.5,1.4337208778404378,10
111,1.5,1.509230856356236,10
112,1.6,1.6465452046971292,10
113,1.7,1.70293863659264,10
114,1.5,1.4337208778404378,10
115,1.6,1.429840705968481,10
116,1.6,1.429840705968481,10
117,1.4,1.349897115421106,10
118,1.3,1.4181364924121764,10
119,1.0,1.247219128924647,10
120,0.8,1.0327955589886446,10
121,0.7,1.3374935098492586,10
122,0.7,1.3374935098492586,10
